"model";"code";"marque";"deleted_at";"created_at";"updated_at";"famille_article_id"
"MIC FM SONY WM 650";"215082";NULL;NULL;"2023-09-06 12:44:02";"2023-09-06 12:44:02";"215"
"MIC FM YAMAHA YM-288 MINCE";"215078";NULL;NULL;"2023-09-06 12:44:02";"2023-09-06 12:44:02";"215"
"MIC FM_YAMAHA_YM-288 GROS";"215079";NULL;NULL;"2023-09-06 12:44:02";"2023-09-06 12:44:02";"215"
"MIC FM-366 SOUND CODE";"215080";NULL;NULL;"2023-09-06 12:44:02";"2023-09-06 12:44:02";"215"
"MIC SAMSUMG SM 777";"215070";NULL;NULL;"2023-09-06 12:44:02";"2023-09-06 12:44:02";"215"
"MICRO ONDE LG";"613002";NULL;NULL;"2023-09-06 14:58:56";"2023-09-06 14:58:56";"613"
"MICRO ONDE PANASONIC";"613004";NULL;NULL;"2023-09-06 14:58:56";"2023-09-06 14:58:56";"613"
"MICRO ONDE SEVERIN";"613001";NULL;NULL;"2023-09-06 14:58:56";"2023-09-06 14:58:56";"613"
"MICRO ONDE SIEMENSS";"613005";NULL;NULL;"2023-09-06 14:58:56";"2023-09-06 14:58:56";"613"
"MIMI CHAINE 3DVP UNVERSUNEX";"606003";NULL;NULL;"2023-09-06 14:58:52";"2023-09-06 14:58:52";"606"
"MINI CHAINE 3DVP UNVERSUNEX";"605006";NULL;NULL;"2023-12-12 03:33:49";"2023-12-12 03:33:49";"605"
"MINI CHAINE MUSCICAL SOUN WANK";"606001";NULL;NULL;"2023-09-06 14:58:52";"2023-09-06 14:58:52";"606"
"MINI CHAINE PHILLIP PM";"606002";NULL;NULL;"2023-09-06 14:58:52";"2023-09-06 14:58:52";"606"
"MINI WOOFER KTF-310";"215225";NULL;NULL;"2023-09-06 12:44:47";"2023-09-06 12:44:47";"215"
"MINI WOOFER WJ-187 BT";"215224";NULL;NULL;"2023-09-06 12:44:47";"2023-09-06 12:44:47";"215"
"MINI WOOFER WS-887";"215223";NULL;NULL;"2023-09-06 12:44:47";"2023-09-06 12:44:47";"215"
"MIP 203";"102543";NULL;NULL;"2023-09-06 12:44:02";"2023-09-06 12:44:02";"102"
"MIP 2C3";"102544";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"102"
"MIP 2E2";"102545";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"102"
"MIP 2F2";"102546";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"102"
"MIP 2F3";"102547";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"102"
"MIP 2F4";"102548";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"102"
"MIP 2H2";"102549";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"102"
"MIP 2K3";"102550";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"102"
"MIP 4020";"102551";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"102"
"MIXEUR HOMELUX PLASTIQURE";"608004";NULL;NULL;"2023-09-06 14:58:56";"2023-09-06 14:58:56";"608"
"MIXEUR ROYAL SWISS CASSABLE";"608001";NULL;NULL;"2023-09-06 14:58:56";"2023-09-06 14:58:56";"608"
"MJE 13001";"103926";NULL;NULL;"2023-09-06 12:43:45";"2023-09-06 12:43:45";"103"
"MJE 13002";"103927";NULL;NULL;"2023-09-06 12:43:45";"2023-09-06 12:43:45";"103"
"MJE 13003";"103928";NULL;NULL;"2023-09-06 12:43:45";"2023-09-06 12:43:45";"103"
"MJE 13005";"103929";NULL;NULL;"2023-09-06 12:43:45";"2023-09-06 12:43:45";"103"
"MJE 13007";"103930";NULL;NULL;"2023-09-06 12:43:45";"2023-09-06 12:43:45";"103"
"MJE 13009";"1031004";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"103"
"MJE 13009 GM";"103931";NULL;NULL;"2023-09-06 12:43:45";"2023-09-06 12:43:45";"103"
"MJE 13009 PM";"103932";NULL;NULL;"2023-09-06 12:43:45";"2023-09-06 12:43:45";"103"
"MJE 15015";"1031005";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"103"
"MJE 15015 ORG";"1031006";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"103"
"MJE 15016";"1031007";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"103"
"MJE 15016 ORG";"1031008";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"103"
"MJE 15024";"1031009";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"103"
"MJE 15024 ORG";"1031010";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"103"
"MJE 15025";"1031011";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"103"
"MJE 15025 ORG";"1031012";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"103"
"MJE 15032";"1031013";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"103"
"MJE 15032 ORG";"1031014";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"103"
"MJE 15033";"1031015";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"103"
"MJE 15033 ORG";"1031016";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"103"
"MJE 18004";"1031017";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"103"
"MJE 18006";"1031018";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"103"
"MJE 2955";"1031003";NULL;NULL;"2023-09-06 12:44:02";"2023-09-06 12:44:02";"103"
"MJE 3055";"1031019";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"103"
"MJE 340";"1031020";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"103"
"MJE 350";"1031021";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"103"
"MJF_18006";"1031022";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"103"
"MJW 0281";"1031023";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"103"
"MJW 0302";"1031024";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"103"
"ML 2300";"102552";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"102"
"MN 1220";"102553";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"102"
"MN 1405";"102554";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"102"
"MN 14822";"102555";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"102"
"MN 15245";"102556";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"102"
"MN 15451";"102557";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"102"
"MOC 3021";"126001";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"126"
"MOC 3022";"126002";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"126"
"MOC 3041";"126003";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"126"
"MODUL AMPLI 2 XTOR ST TDA 2004 12V";"212026";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"212"
"MODUL AMPLI 2 XTOR ST TDA 2030";"212027";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"212"
"MODUL AMPLI 2 XTOR X-ELECT A1106/ C2580";"212016";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"212"
"MODUL AMPLI 4 XTOR";"212017";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"212"
"MODUL AMPLI 4 XTOR ( C3858/ A1494) PCB A15 28V";"212019";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"212"
"MODUL AMPLI 4 XTOR ( C5200/ A1943) PCB A15 28V";"212020";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"212"
"MODUL AMPLI 4 XTOR + ENTRE MIC";"212028";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"212"
"MODUL AMPLI 4 XTOR 3POT 15V*2";"212033";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"212"
"MODUL AMPLI 4 XTOR A1301/C3281";"212021";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"212"
"MODUL AMPLI 6 XTOR + POT";"212022";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"212"
"MODUL AMPLI 6 XTOR A1105/ C2580 25-50V";"212018";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"212"
"MODUL AMPLI 6 XTOR-4POT 15V*2";"212034";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"212"
"MODUL AMPLI 8 XTOR ( A1943/ C5200) DX-45M 30V X 2 PC";"212024";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"212"
"MODUL AMPLI 8 XTOR ( A1943/ C5200) PCB A18 26V BIG";"212025";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"212"
"MODUL AMPLI 8 XTOR ( C3858/ A1494) PCB A205 26V";"212023";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"212"
"MODUL AMPLI 8 XTOR ( C5200/ A1943) 70V";"212029";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"212"
"MODUL AMPLI 8XTOR ( A1943/ C5200) DX-45M 30V X 2 PC";"212041";NULL;NULL;"2023-12-12 03:21:28";"2023-12-12 03:21:28";"212"
"MODUL AMPLI LOCAL STK 4362 ST";"212036";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"212"
"MODUL AMPLI NIF MNO 4 XTOR C 5200/ A1943";"212015";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"212"
"MODUL AMPLI NIG 2 XTOR A1301/C3281";"212030";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"212"
"MODUL AMPLI NIG 2 XTOR A1941/C5198";"212032";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"212"
"MODUL AMPLI NIG 2 XTOR A1943/C5200";"212031";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"212"
"MODUL AMPLI NIG CI TDA 2004/2005";"212014";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"212"
"MODUL AMPLI NIG CI TDA 2030";"212013";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"212"
"MODUL AMPLI NIG MNO 4 XTOR C 5200/ A1943";"212037";NULL;NULL;"2023-12-12 03:21:28";"2023-12-12 03:21:28";"212"
"MODUL AMPLI PCB 8 XTOR ( C3858/ A1494) A205 26V";"212040";NULL;NULL;"2023-12-12 03:21:28";"2023-12-12 03:21:28";"212"
"MODUL AMPLI PCB A15 4 XTOR ( C3858/ A1494) 28V";"212038";NULL;NULL;"2023-12-12 03:21:28";"2023-12-12 03:21:28";"212"
"MODUL AMPLI PCB A15 4 XTOR ( C5200/ A1943) 28V";"212039";NULL;NULL;"2023-12-12 03:21:28";"2023-12-12 03:21:28";"212"
"MODUL AMPLI PCB A18 8 XTOR ( A1943/ C5200) 26V BIG";"212042";NULL;NULL;"2023-12-12 03:21:28";"2023-12-12 03:21:28";"212"
"MODUL AMPLI WOOFER";"212035";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"212"
"MODUL BLUETOOTH";"310001";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"310"
"MODUL BLUETOOTH ARDUINO";"310006";NULL;NULL;"2023-12-12 03:21:29";"2023-12-12 03:21:29";"310"
"MODUL BLUETOOTH HC-05";"310002";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"310"
"MODUL GPS EMETEUR RECEPTEUR (COUPLE)";"310004";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"310"
"MODUL GSM SIM 900 (POWER MODUL) DS 18";"305003";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"305"
"MODUL RFID";"310003";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"310"
"MODUL SIM GSM 800";"305002";NULL;NULL;"2023-09-06 12:44:03";"2023-09-06 12:44:03";"305"
"MODUL UHF DM 19.8";"215090";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"215"
"MODUL WIFI ESP 8266";"310005";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"310"
"MODULATEUR AV-RF(TUNER)";"215088";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"215"
"MODULATEUR UHF DM 16.95";"215089";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"215"
"MOTEUR 12V GM-60071";"311001";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"311"
"MOTEUR 12V MR RVL";"311002";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"311"
"MOTEUR CW DC 6V";"311003";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"311"
"MOTEUR CW DC 9V";"311004";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"311"
"MOTEUR DVD";"215091";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"215"
